Record Type 1,Customer Number,Delivery Address Number,Invoice Number,Grand Total Value,,,Nett Value,,Currency Code,,Sub Total2,Total VAT Value,VAT Number,Sub Total3,,,,,,,,
Record Type 2,Customer Number,Delivery Address Number,Invoice Number,Customer Order Number,Supplied Part Number,Pick Quantity,Nett Value,User Text,Currency Code,Order Type,Exchange Value,Programming Charge,Tarrif Code,Country of Origin,HU,ECCN US,ECCN UK,Customer Part Number,Part Description,UOI(Unit of Issue),Net Weight,CPC Code
Record Type 3,Customer Number,,Invoice Number,OTHERS or CAR CHG,,,Nett Value,,,,,,,,,,,,,,,
"2","57420","57420001","90222105","4500127789TVH","T410470","1.000","17.49","0","EUR","Standard Order","0","0","8409990090","CN","00000000004401753262","0","0","0","PIPE","1.000","0.230 KG","3171000"
"2","57420","57420001","90222105","4500127789TVH","T410472","1.000","17.49","0","EUR","Standard Order","0","0","8409990090","CN","00000000004401753262","0","0","0","PIPE","1.000","0.230 KG","3171000"
"2","57420","57420001","90222105","4500127789TVH","T410865","16.000","2359.52","0","EUR","Standard Order","0","0","8511400090","SI","00000000004401755498","EAR99","Not on Control List","0","STARTERMOTOR","1.000","139.200 KG","3171000"
"2","57420","57420001","90222105","4500127789TVH","T414387","25.000","207.00","0","EUR","Standard Order","0","0","8409990090","CN","00000000004401753862","EAR99","Not on Control List","0","GASKET","1.000","1.500 KG","1040000"
"2","57420","57420001","90222105","4500127789TVH","T414650","6.000","149.22","0","EUR","Standard Order","0","0","8484900090","CN","00000000004401754260","EAR99","Not on Control List","0","SEAL KIT","1.000","0.420 KG","1040000"
"2","57420","57420001","90222105","4500127789TVH","T416115","3.000","198.18","0","EUR","Standard Order","0","0","8484100090","DE","00000000004401753861","EAR99","Not on Control List","0","HEAD GASKET","1.000","1.290 KG","1040000"
"2","57420","57420001","90222105","4500127789TVH","T417478","5.000","274.95","0","EUR","Standard Order","0","0","8409990090","GB","00000000004401754260","EAR99","Not on Control List","0","VALVE COVER","1.000","9.500 KG","1040000"
"2","57420","57420001","90222105","4500127789TVH","T417873","10.000","780.10","0","EUR","Standard Order","0","0","8481409090","CH","00000000004401753355","EAR99","Not on Control List","0","RELIEF VALVE","1.000","2.200 KG","1040000"
"2","57420","57420001","90222105","4500127789TVH","T418644","3.000","36.81","0","EUR","Standard Order","0","0","8414900090","GB","00000000004401753355","0","0","0","EXTENSION","1.000","1.590 KG","1040000"
"2","57420","57420001","90222105","4500127789TVH","T430490","15.000","1622.40","0","EUR","Standard Order","0","0","8487909090","GB","00000000004401752995/00000000004401752996","EAR99","Not on Control List","0","RADIATOR PERKINS","1.000","67.200 KG","1040000"
"2","57420","57420001","90222105","4500127789TVH","T430998","1.000","419.54","0","EUR","Standard Order","0","0","8483102990","CN","00000000004401752996","EAR99","Not on Control List","0","CRANKSHAFT","1.000","25.000 KG","1040000"
"2","57420","57420001","90222105","4500127789TVH","T436133","2.000","29.48","0","EUR","Standard Order","0","0","6815990000","GB","00000000004401753355","EAR99","Not on Control List","0","GASKET","1.000","0.014 KG","1040000"
"2","57420","57420001","90222105","4500127789TVH","T436138","1.000","412.28","0","EUR","Standard Order","0","0","8419508090","PT","00000000004401753861","EAR99","Not on Control List","0","COOLER","1.000","9.680 KG","3171000"
"2","57420","57420001","90222105","4500127789TVH","T436324","2.000","329.04","0","EUR","Standard Order","0","0","8409990090","HU","00000000004401753861","EAR99","Not on Control List","0","INJECTOR","1.000","1.080 KG","3171000"
"2","57420","57420001","90222105","4500127789TVH","TPN859","40.000","473.60","0","EUR","Standard Order","0","0","8544429090","GB","00000000004401753939","EAR99","Not on Control List","0","LEAD","1.000","0.640 KG","1040000"
"2","57420","57420001","90222105","4500127789TVH","U10136460","60.000","73.80","0","EUR","Standard Order","0","0","8409990090","GB","00000000004401753355","EAR99","Not on Control List","0","INSERT","1.000","0.600 KG","1040000"
"2","57420","57420001","90222105","4500127789TVH","U5LB1162","15.000","524.70","0","EUR","Standard Order","0","0","8484900090","GB","00000000004401753262","EAR99","Not on Control List","0","KIT,JOINT/GASKET","1.000","5.430 KG","3171000"
"2","57420","57420001","90222105","4500127789TVH","U5LB1165","2.000","60.92","0","EUR","Standard Order","0","0","8484900090","GB","00000000004401752981/00000000004401754918","EAR99","Not on Control List","0","KIT,JOINT/GASKET","1.000","0.970 KG","3171000"
"2","57420","57420001","90222105","4500127789TVH","U5LH0010","2.000","137.90","0","EUR","Standard Order","0","0","8409990090","TR","00000000004401753262","0","0","0","KIT, PISTON","1.000","2.756 KG","1040000"
"2","57420","57420001","90222105","4500127789TVH","U5LT0203","10.000","526.80","0","EUR","Standard Order","0","0","8484900090","GB","00000000004401753861","EAR99","Not on Control List","0","KIT,JOINT/GASKET","1.000","6.330 KG","3171000"
"2","57420","57420001","90222105","4500127789TVH","U5MK0619","1.000","22.84","0","EUR","Standard Order","0","0","8409990090","GB","00000000004401752981","0","0","0","KIT, PROTECTION","1.000","0.050 KG","1040000"
"2","57420","57420001","90222105","4500127789TVH","U5MW0104","9.000","430.92","0","EUR","Standard Order","0","0","8413308090","IN","00000000004401753861","EAR99","Not on Control List","0","WATER PUMP","1.000","28.314 KG","1040000"
"2","57420","57420001","90222105","4500127789TVH","U5MW0193","15.000","1293.75","0","EUR","Standard Order","0","0","8413308090","IN","00000000004401754838","EAR99","Not on Control List","0","WATER PUMP","1.000","128.085 KG","1040000"
"2","57420","57420001","90222105","4500127789TVH","ULPR0005","14.000","174.30","0","EUR","Standard Order","0","0","8413910090","TR","00000000004401753355/00000000004401754260","EAR99","Not on Control List","0","KIT, REPAIR","1.000","0.980 KG","1040000"
"2","57420","57420001","90222105","4500127789TVH","W40460300","2.000","42.08","0","EUR","Standard Order","0","0","8483908990","CN","00000000004401753355","EAR99","Not on Control List","0","GEAR","1.000","1.100 KG","3171000"
"2","57420","57420001","90222105","4500127797Atlas","2614B653","10.000","136.10","0","EUR","Standard Order","0","0","4010320000","IN","00000000004401752981","EAR99","Not on Control List","0","BELT,FAN","1.000","3.220 KG","1040000"
"2","57420","57420001","90222105","4500127797Atlas","2652C832","10.000","176.30","0","EUR","Standard Order","0","0","8421310090","PL","00000000004401752996/00000000004401752998","EAR99","Not on Control List","0","AIR FILTER","1.000","11.600 KG","3171000"
"2","57420","57420001","90222105","4500127797Atlas","2656F087","1.000","78.42","0","EUR","Standard Order","0","0","8421230090","GB","00000000004401752996","EAR99","Not on Control List","0","FUEL FILTER ASY","1.000","1.900 KG","1040000"
"2","57420","57420001","90222105","4500127797Atlas","4627133","14.000","100.52","0","EUR","Standard Order","0","0","8421230090","MX","00000000004401752996/00000000004401755548","EAR99","0","0","OIL FILTER","1.000","8.862 KG","1040000"
"2","57420","57420001","90222105","4500127797Atlas","T421596","40.000","701.20","0","EUR","Standard Order","0","0","4016930090","CN","00000000004401753355","EAR99","Not on Control List","0","SEAL","1.000","2.000 KG","1040000"
"2","57420","57420001","90222105","4500127797Atlas","U5MW0208","2.000","136.86","0","EUR","Standard Order","0","0","8413308090","IN","00000000004401752996/00000000004401754344","EAR99","Not on Control List","0","KIT,WATER PUMP","1.000","11.000 KG","1040000"
"2","57420","57420001","90222105","4500127813Kramp","140517050","350.000","857.50","0","EUR","Standard Order","0","0","8421230090","FR","00000000004401752997/00000000004401752998","EAR99","Not on Control List","0","OIL FILTER","1.000","103.600 KG","3171000"
"2","57420","57420001","90222105","4500127813Kramp","4816636","220.000","1443.20","0","EUR","Standard Order","0","0","8421230090","CZ","00000000004401752997","EAR99","Not on Control List","0","FUEL FILTER","1.000","51.700 KG","3171000"
"2","57420","57420001","90222105","4500127813Kramp","5584722","1.000","18.65","0","EUR","Standard Order","0","0","8421230090","CZ","00000000004401753861","EAR99","Not on Control List","0","ELEMENT,FUEL","1.000","0.250 KG","3171000"
"2","57420","57420001","90222105","4500127813Kramp","ULPK0034","44.000","462.00","0","EUR","Standard Order","0","0","8413308090","TR","00000000004401752981","EAR99","Not on Control List","0","LIFT PUMP","1.000","16.720 KG","1040000"
"2","57420","57420001","90222105","4500127819","0460024","6.000","152.40","0","EUR","Standard Order","0","0","8413910090","HU","00000000004401753939","EAR99","Not on Control List","0","IMPELLER","1.000","1.188 KG","1040000"
"2","57420","57420001","90222105","4500127819","0566004","10.000","5.84","0","EUR","Standard Order","0","0","7412200000","GB","00000000004401753262","EAR99","Not on Control List","0","OLIVE","10.000","0.010 KG","1040000"
"2","57420","57420001","90222105","4500127819","0921176","10.000","2.62","0","EUR","Standard Order","0","0","7318220091","GB","00000000004401753862","EAR99","Not on Control List","0","WASHER","10.000","0.020 KG","1040000"
"2","57420","57420001","90222105","4500127819","130306360","1.000","2.14","0","EUR","Standard Order","0","0","8421230090","GB","00000000004401753262","EAR99","Not on Control List","0","FUEL FILTER","1.000","0.004 KG","1040000"
"2","57420","57420001","90222105","4500127819","131426400","10.000","4.60","0","EUR","Standard Order","0","0","7419809098","JP","00000000004401753262","EAR99","Not on Control List","0","GASKET","1.000","0.100 KG","3171000"
"2","57420","57420001","90222105","4500127819","131501090","1.000","21.64","0","EUR","Standard Order","0","0","8409990090","JP","00000000004401753862","EAR99","Not on Control List","0","INJECTION PIPE","1.000","0.090 KG","3171000"
"2","57420","57420001","90222105","4500127819","131501100","1.000","22.26","0","EUR","Standard Order","0","0","8409990090","JP","00000000004401753862","EAR99","Not on Control List","0","INJECTION PIPE","1.000","0.090 KG","3171000"
"2","57420","57420001","90222105","4500127819","131501110","2.000","42.64","0","EUR","Standard Order","0","0","8409990090","JP","00000000004401753862","EAR99","Not on Control List","0","INJECTION PIPE","1.000","0.180 KG","3171000"
"2","57420","57420001","90222105","4500127819","131996130","10.000","30.50","0","EUR","Standard Order","0","0","7419809098","JP","00000000004401753862","EAR99","Not on Control List","0","WASHER","10.000","0.100 KG","3171000"
